Node Number	Total Deformation (mm)
1	0.24839
2	0.24792
3	0.2509
4	0.24853
5	0.24816
6	0.24785
7	0.24818
8	0.24789
9	0.2632
10	0.26333
11	0.2633
12	0.2631
13	0.26273
14	0.26218
15	0.26142
16	0.26045
17	0.25928
18	0.2579
19	0.25633
20	0.25457
21	0.25261
22	0.25047
23	0.26608
24	0.25325
25	0.25543
26	0.25741
27	0.2592
28	0.26079
29	0.26218
30	0.26336
31	0.26434
32	0.26509
33	0.26564
34	0.26601
35	0.2662
36	0.26622
37	0.26373
38	0.25091
39	0.25311
40	0.25511
41	0.25692
42	0.25852
43	0.25992
44	0.2611
45	0.26207
46	0.26282
47	0.26337
48	0.26372
49	0.26389
50	0.26389
51	6.07E-03
52	7.86E-03
53	1.01E-02
54	1.30E-02
55	1.64E-02
56	2.05E-02
57	2.51E-02
58	3.03E-02
59	3.59E-02
60	4.22E-02
61	4.95E-02
62	5.77E-02
63	6.63E-02
64	7.53E-02
65	8.48E-02
66	9.46E-02
67	0.1049
68	0.11555
69	0.12635
70	0.13735
71	0.14852
72	0.15979
73	0.17115
74	0.18256
75	0.19401
76	0.20551
77	0.21703
78	0.22857
79	0.24011
80	0.25166
81	6.38E-03
82	0.25218
83	0.24063
84	0.22909
85	0.21756
86	0.20603
87	0.19455
88	0.18311
89	0.1717
90	0.16036
91	0.1491
92	0.13794
93	0.12696
94	0.11618
95	0.10555
96	9.52E-02
97	8.55E-02
98	7.60E-02
99	6.71E-02
100	5.86E-02
101	5.04E-02
102	4.30E-02
103	3.68E-02
104	3.11E-02
105	2.60E-02
106	2.14E-02
107	1.73E-02
108	1.38E-02
109	1.09E-02
110	8.51E-03
111	0.25335
112	0.25286
113	0.25591
114	0.25349
115	0.25311
116	0.2528
117	0.25313
118	0.25284
119	0.26874
120	0.26885
121	0.2688
122	0.26858
123	0.26818
124	0.26759
125	0.26679
126	0.26578
127	0.26457
128	0.26314
129	0.26152
130	0.2597
131	0.25769
132	0.25549
133	0.27167
134	0.25831
135	0.26055
136	0.26259
137	0.26444
138	0.26609
139	0.26752
140	0.26875
141	0.26976
142	0.27056
143	0.27114
144	0.27154
145	0.27176
146	0.27179
147	0.26927
148	0.25592
149	0.25819
150	0.26025
151	0.26211
152	0.26377
153	0.26521
154	0.26644
155	0.26745
156	0.26824
157	0.26882
158	0.2692
159	0.2694
160	0.26942
161	6.38E-03
162	8.15E-03
163	1.03E-02
164	1.32E-02
165	1.66E-02
166	2.07E-02
167	2.54E-02
168	3.07E-02
169	3.66E-02
170	4.31E-02
171	5.07E-02
172	5.92E-02
173	6.80E-02
174	7.72E-02
175	8.69E-02
176	9.69E-02
177	0.10746
178	0.11833
179	0.12934
180	0.14055
181	0.15193
182	0.16342
183	0.17499
184	0.18661
185	0.19828
186	0.20998
187	0.22172
188	0.23347
189	0.24523
190	0.25699
191	6.75E-03
192	0.25752
193	0.24575
194	0.234
195	0.22225
196	0.21052
197	0.19882
198	0.18716
199	0.17554
200	0.16399
201	0.15251
202	0.14114
203	0.12995
204	0.11896
205	0.10812
206	9.76E-02
207	8.76E-02
208	7.79E-02
209	6.88E-02
210	6.00E-02
211	5.16E-02
212	4.40E-02
213	3.74E-02
214	3.16E-02
215	2.63E-02
216	2.16E-02
217	1.76E-02
218	1.41E-02
219	1.11E-02
220	8.80E-03
221	0.25114
222	0.25066
223	0.25368
224	0.25128
225	0.2509
226	0.2506
227	0.25092
228	0.25064
229	0.26601
230	0.26614
231	0.26613
232	0.26593
233	0.26557
234	0.26501
235	0.26425
236	0.26328
237	0.2621
238	0.26072
239	0.25914
240	0.25736
241	0.25539
242	0.25324
243	0.26892
244	0.25604
245	0.25823
246	0.26023
247	0.26203
248	0.26364
249	0.26504
250	0.26622
251	0.2672
252	0.26795
253	0.26851
254	0.26887
255	0.26905
256	0.26906
257	0.26653
258	0.25367
259	0.25588
260	0.25791
261	0.25973
262	0.26133
263	0.26274
264	0.26393
265	0.2649
266	0.26566
267	0.2662
268	0.26655
269	0.26672
270	0.2667
271	6.36E-03
272	8.05E-03
273	1.01E-02
274	1.29E-02
275	1.63E-02
276	2.03E-02
277	2.49E-02
278	3.01E-02
279	3.58E-02
280	4.23E-02
281	4.98E-02
282	5.82E-02
283	6.69E-02
284	7.60E-02
285	8.56E-02
286	9.55E-02
287	0.10599
288	0.11676
289	0.12768
290	0.1388
291	0.15009
292	0.16149
293	0.17297
294	0.18451
295	0.19608
296	0.2077
297	0.21935
298	0.23101
299	0.24267
300	0.25434
301	6.68E-03
302	0.25486
303	0.24319
304	0.23153
305	0.21987
306	0.20822
307	0.19662
308	0.18506
309	0.17353
310	0.16206
311	0.15068
312	0.1394
313	0.12829
314	0.11739
315	0.10664
316	9.62E-02
317	8.63E-02
318	7.68E-02
319	6.77E-02
320	5.90E-02
321	5.07E-02
322	4.32E-02
323	3.67E-02
324	3.10E-02
325	2.58E-02
326	2.12E-02
327	1.72E-02
328	1.38E-02
329	1.09E-02
330	8.68E-03
331	0.25066
332	0.25018
333	0.25318
334	0.25079
335	0.25042
336	0.25011
337	0.25043
338	0.25015
339	0.26488
340	0.26504
341	0.26506
342	0.2649
343	0.26458
344	0.26406
345	0.26335
346	0.26242
347	0.26129
348	0.25996
349	0.25843
350	0.2567
351	0.25479
352	0.25269
353	0.26777
354	0.25548
355	0.25762
356	0.25957
357	0.26132
358	0.26287
359	0.26422
360	0.26535
361	0.26628
362	0.26699
363	0.2675
364	0.26783
365	0.26798
366	0.26795
367	0.26539
368	0.25312
369	0.25528
370	0.25725
371	0.25902
372	0.26057
373	0.26193
374	0.26307
375	0.26399
376	0.2647
377	0.2652
378	0.26551
379	0.26564
380	0.26559
381	6.10E-03
382	7.77E-03
383	9.83E-03
384	1.26E-02
385	1.60E-02
386	2.00E-02
387	2.46E-02
388	2.98E-02
389	3.56E-02
390	4.20E-02
391	4.95E-02
392	5.78E-02
393	6.65E-02
394	7.55E-02
395	8.51E-02
396	9.50E-02
397	0.10541
398	0.11615
399	0.12703
400	0.13811
401	0.14936
402	0.16072
403	0.17216
404	0.18366
405	0.19519
406	0.20677
407	0.21838
408	0.23
409	0.24162
410	0.25325
411	6.40E-03
412	0.25376
413	0.24213
414	0.23051
415	0.21889
416	0.20728
417	0.19572
418	0.18419
419	0.17271
420	0.16128
421	0.14994
422	0.1387
423	0.12763
424	0.11677
425	0.10606
426	9.57E-02
427	8.58E-02
428	7.63E-02
429	6.73E-02
430	5.86E-02
431	5.03E-02
432	4.28E-02
433	3.64E-02
434	3.07E-02
435	2.55E-02
436	2.09E-02
437	1.69E-02
438	1.35E-02
439	1.06E-02
440	8.39E-03
441	0.25313
442	0.25265
443	0.25567
444	0.25326
445	0.25289
446	0.25258
447	0.25291
448	0.25263
449	0.26755
450	0.26772
451	0.26773
452	0.26757
453	0.26724
454	0.26671
455	0.26598
456	0.26504
457	0.2639
458	0.26254
459	0.261
460	0.25925
461	0.25731
462	0.25519
463	0.27046
464	0.25799
465	0.26016
466	0.26212
467	0.2639
468	0.26547
469	0.26683
470	0.26799
471	0.26893
472	0.26966
473	0.27018
474	0.27051
475	0.27066
476	0.27064
477	0.26807
478	0.25562
479	0.2578
