Node Number	Equivalent Elastic Strain (mm/mm)
1	7.9699e-007
2	1.5511e-006
3	5.0013e-007
4	1.4754e-006
5	1.3342e-006
6	1.5592e-006
7	2.0136e-006
8	1.4632e-006
9	4.4285e-006
10	5.2014e-006
11	5.7239e-006
12	7.1352e-006
13	7.2589e-006
14	7.9415e-006
15	9.0847e-006
16	8.4151e-006
17	7.7752e-006
18	9.1193e-006
19	9.1175e-006
20	7.2546e-006
21	5.1511e-006
22	4.7874e-006
23	2.8218e-006
24	2.4478e-006
25	3.6236e-006
26	4.9236e-006
27	5.5262e-006
28	5.8697e-006
29	5.6196e-006
30	6.4097e-006
31	5.4639e-006
32	4.8353e-006
33	5.7796e-006
34	5.5057e-006
35	3.6045e-006
36	3.6942e-006
37	4.2583e-006
38	4.1692e-006
39	6.5219e-006
40	6.6e-006
41	8.7161e-006
42	9.5517e-006
43	7.9669e-006
44	7.476e-006
45	7.6617e-006
46	7.1514e-006
47	5.9407e-006
48	5.7662e-006
49	6.8326e-006
50	6.0959e-006
51	2.15e-004
52	2.0966e-004
53	2.108e-004
54	2.117e-004
55	2.0808e-004
56	2.0313e-004
57	1.897e-004
58	1.8953e-004
59	1.782e-004
60	1.7997e-004
61	1.7246e-004
62	1.5853e-004
63	1.4978e-004
64	1.4066e-004
65	1.3283e-004
66	1.2307e-004
67	1.1882e-004
68	1.0761e-004
69	1.0015e-004
70	9.4824e-005
71	8.6278e-005
72	7.747e-005
73	7.1391e-005
74	6.3578e-005
75	5.5964e-005
76	4.4939e-005
77	3.895e-005
78	2.8997e-005
79	2.0799e-005
80	8.9411e-006
81	1.244e-004
82	1.1677e-005
83	2.3369e-005
84	3.3529e-005
85	4.0737e-005
86	4.8622e-005
87	5.8221e-005
88	6.828e-005
89	7.4314e-005
90	8.422e-005
91	9.412e-005
92	1.0125e-004
93	1.1009e-004
94	1.1525e-004
95	1.3079e-004
96	1.4693e-004
97	1.4919e-004
98	1.6134e-004
99	1.5797e-004
100	1.7853e-004
101	2.0226e-004
102	2.1159e-004
103	1.8914e-004
104	1.9953e-004
105	2.2083e-004
