Node Number	Equivalent (von-Mises) Stress (MPa)
1	0.14992
2	0.3015
3	9.1286e-002
4	0.28777
5	0.25918
6	0.30535
7	0.39872
8	0.28711
9	0.85668
10	0.78845
11	1.0888
12	1.1893
13	1.3477
14	1.4485
15	1.7419
16	1.5598
17	1.4554
18	1.6647
19	1.7024
20	1.2995
21	0.98157
22	0.85416
23	0.22345
24	0.36869
25	0.48392
26	0.72126
27	0.97679
28	1.0245
29	1.0477
30	1.1759
31	1.0293
32	0.80861
33	0.90917
34	0.8605
35	0.52739
36	0.40581
37	0.82749
38	0.78642
39	1.1769
40	1.2671
41	1.6552
42	1.7569
43	1.4748
44	1.4268
45	1.4874
46	1.3472
47	1.0802
48	1.0139
49	1.2483
50	1.0447
51	41.911
52	40.336
53	41.332
54	41.221
55	41.096
56	39.669
57	37.408
58	37.413
59	34.618
60	33.937
61	33.433
62	31.432
63	29.521
64	27.505
65	26.143
66	23.927
67	23.545
68	21.438
69	19.898
70	18.882
71	17.209
72	15.462
73	14.259
74	12.688
75	11.136
76	8.9575
77	7.731
78	5.7962
79	4.1485
80	1.7398
81	13.96
82	2.2901
83	4.6228
84	6.6565
85	8.1232
86	9.6878
87	11.627
88	13.62
89	14.81
90	16.787
91	18.758
92	20.146
93	21.907
94	22.89
95	25.817
96	28.848
97	29.459
98	31.632
99	31.32
100	35.09
101	39.101
102	40.661
103	37.195
104	39.289
105	43.533
106	42.057
107	47.848
108	43.653
109	50.057
110	43.57
111	0.23878
112	0.39402
113	0.11338
114	0.3247
115	0.29755
116	0.43526
117	0.38549
118	0.36067
119	0.97195
120	0.85594
121	1.0766
122	1.1929
123	1.3481
124	1.4488
125	1.742
126	1.5599
127	1.4551
128	1.6645
129	1.7023
130	1.3036
131	0.93209
132	0.85251
133	0.5891
134	0.31668
135	0.58404
136	0.72517
137	0.97862
138	1.0239
139	1.0469
140	1.1759
141	1.029
142	0.80764
143	0.90721
144	0.85866
145	0.50957
146	0.36345
147	1.0298
148	0.87658
149	1.3423
150	1.2662
151	1.6551
152	1.7568
153	1.4745
154	1.4269
155	1.4874
156	1.3467
157	1.081
158	1.0175
159	1.2362
160	1.0596
161	38.969
162	39.85
163	41.411
164	41.207
165	41.284
166	40.032
167	36.808
168	36.859
169	34.267
170	33.69
171	33.309
172	31.217
173	29.457
174	27.48
175	26.162
176	23.934
177	23.544
178	21.442
179	19.902
180	18.88
181	17.21
182	15.463
183	14.26
184	12.688
185	11.136
186	8.958
187	7.7311
188	5.7963
189	4.1433
190	1.7855
191	15.681
192	2.2987
193	4.6185
194	6.6563
195	8.1238
196	9.6886
197	11.628
198	13.622
199	14.811
200	16.789
201	18.756
202	20.144
203	21.912
204	22.889
205	25.807
206	28.853
207	29.446
208	31.57
209	31.181
210	34.927
211	38.719
212	40.386
213	36.94
214	38.639
215	43.88
216	42.382
217	47.88
218	43.551
219	49.93
220	40.327
221	0.14995
222	0.3037
223	8.0775e-002
224	0.27126
225	0.25375
226	0.31137
227	0.35179
228	0.28257
229	0.85668
230	0.78846
231	1.0888
232	1.1893
233	1.3478
234	1.4486
235	1.7419
236	1.5595
237	1.4548
238	1.6652
239	1.7033
240	1.2993
241	0.98165
242	0.85336
243	0.22342
244	0.3618
245	0.48412
246	0.72119
247	0.97769
248	1.0234
249	1.0461
250	1.176
251	1.0297
252	0.80852
253	0.90917
254	0.86046
255	0.52743
256	0.4057
257	0.82749
258	0.79053
259	1.1778
260	1.267
261	1.6559
262	1.7573
263	1.4749
264	1.4262
265	1.4873
266	1.3473
267	1.0803
268	1.014
269	1.2483
270	1.0448
271	37.869
272	38.926
273	40.925
274	41.073
275	41.13
276	39.986
277	36.79
278	36.845
279	34.261
280	33.688
281	33.307
282	31.208
283	29.454
284	27.478
285	26.162
286	23.932
287	23.543
288	21.44
289	19.9
290	18.878
291	17.208
292	15.461
293	14.258
294	12.687
295	11.135
296	8.9569
297	7.7307
298	5.7961
299	4.1484
300	1.7398
301	14.76
302	2.2901
303	4.6227
304	6.6564
305	8.1229
306	9.6877
307	11.627
308	13.621
309	14.809
310	16.787
311	18.754
312	20.142
313	21.911
314	22.887
315	25.804
316	28.851
317	29.445
318	31.567
319	31.176
320	34.925
321	38.715
322	40.382
323	36.937
324	38.622
325	43.853
326	42.283
327	47.803
328	43.27
329	49.651
330	40.095
331	0.21852
332	0.34176
333	0.15044
334	0.34155
335	0.29759
336	0.34773
337	0.43087
338	0.30263
339	0.9253
340	0.83376
341	1.083
342	1.2232
343	1.2761
344	1.4427
345	1.7415
346	1.5605
347	1.4554
348	1.6651
349	1.7035
350	1.2992
351	0.9806
352	0.8507
353	0.50939
354	0.36254
355	0.48324
356	0.7215
357	0.97873
358	1.0261
359	1.0482
360	1.1781
361	1.0294
362	0.80563
363	1.0132
364	0.82679
365	0.46966
366	0.37964
367	0.97726
368	0.78223
369	1.1771
370	1.267
371	1.6562
372	1.7577
373	1.4747
374	1.4276
375	1.4881
376	1.3441
377	1.0836
378	1.0425
379	1.2152
380	1.0746
381	38.808
382	40.088
383	41.618
384	41.271
385	41.197
386	39.973
387	37.118
388	37.122
389	34.431
390	33.773
391	33.332
392	31.259
393	29.47
394	27.485
395	26.16
396	23.934
397	23.545
398	21.441
399	19.901
400	18.88
401	17.209
402	15.462
403	14.259
404	12.687
405	11.135
406	8.9566
407	7.7298
408	5.7954
409	4.143
410	1.7674
411	14.438
412	2.2961
413	4.6203
414	6.6549
415	8.1223
416	9.6874
417	11.627
